index,minute,mv
1166,1.9433,2154,
1167,1.945,2171,
1168,1.9467,2187,
1169,1.9483,2201,
1170,1.95,2214,
1171,1.9517,2225,
1172,1.9533,2234,
1173,1.955,2243,
1174,1.9567,2248,
1175,1.9583,2252,
1176,1.96,2257,
1177,1.9617,2258,
1178,1.9633,2258,
1179,1.965,2256,
1180,1.9667,2254,
1181,1.9683,2249,
1182,1.97,2244,
1183,1.9717,2236,
1184,1.9733,2226,
1185,1.975,2216,
1186,1.9767,2205,
1187,1.9783,2192,
1188,1.98,2178,
1189,1.9817,2163,
1190,1.9833,2146,
1191,1.985,2128,
1192,1.9867,2110,
1193,1.9883,2091,
1194,1.99,2069,
1195,1.9917,2049,
1196,1.9933,2025,
1197,1.995,2001,
1198,1.9967,1977,
1199,1.9983,1951,
1200,2,1926,
1201,2.0017,1899,
1202,2.0033,1873,
1203,2.005,1845,
1204,2.0067,1816,
1205,2.0083,1789,
1206,2.01,1758,
1207,2.0117,1730,
1208,2.0133,1700,
1209,2.015,1669,
1210,2.0167,1640,
1211,2.0183,1609,
1212,2.02,1579,
1213,2.0217,1549,
1214,2.0233,1517,
1215,2.025,1487,
1216,2.0267,1456,
1217,2.0283,1426,
1218,2.03,1395,
1219,2.0317,1365,
1220,2.0333,1336,
1221,2.035,1305,
1222,2.0367,1275,
1223,2.0383,1246,
1224,2.04,1216,
1225,2.0417,1187,
1226,2.0433,1158,
1227,2.045,1130,
1228,2.0467,1102,
1229,2.0483,1075,
1230,2.05,1047,
1231,2.0517,1020,
1232,2.0533,993,
1233,2.055,968,
1234,2.0567,943,
1235,2.0583,918,
1236,2.06,893,
1237,2.0617,870,
1238,2.0633,846,
1239,2.065,823,
1240,2.0667,800,
1241,2.0683,778,
1242,2.07,756,
1243,2.0717,735,
1244,2.0733,713,
1245,2.075,694,
1246,2.0767,674,
1247,2.0783,655,
1248,2.08,636,
1249,2.0817,617,
1250,2.0833,599,
1251,2.085,582,
1252,2.0867,566,
1253,2.0883,548,
1254,2.09,532,
1255,2.0917,517,
1256,2.0933,501,
1257,2.095,487,
1258,2.0967,473,
1259,2.0983,458,
1260,2.1,446,
1261,2.1017,431,
1262,2.1033,419,
1263,2.105,407,
1264,2.1067,394,
1265,2.1083,382,
1266,2.11,372,
1267,2.1117,361,
1268,2.1133,350,
1269,2.115,340,
1270,2.1167,330,
1271,2.1183,320,
1272,2.12,310,
1273,2.1217,301,
1274,2.1233,292,
1275,2.125,284,
1276,2.1267,276,
1277,2.1283,268,
1278,2.13,260,
1279,2.1317,253,
1280,2.1333,245,
1281,2.135,238,
1282,2.1367,231,
1283,2.1383,223,
1284,2.14,218,
1285,2.1417,212,
1286,2.1433,205,
1287,2.145,200,
1288,2.1467,194,
1289,2.1483,188,
1290,2.15,184,
1291,2.1517,178,
1292,2.1533,173,
1293,2.155,169,
1294,2.1567,164,
1295,2.1583,160,
1296,2.16,155,
1297,2.1617,151,
1298,2.1633,147,
1299,2.165,143,
1300,2.1667,138,
1301,2.1683,136,
1302,2.17,132,
1303,2.1717,128,
1304,2.1733,124,
1305,2.175,121,
1306,2.1767,119,
1307,2.1783,115,
1308,2.18,112,
1309,2.1817,109,
1310,2.1833,106,
1311,2.185,103,
1312,2.1867,101,
1313,2.1883,99,
1314,2.19,96,
1315,2.1917,93,
1316,2.1933,91,
1317,2.195,89,
1318,2.1967,86,
1319,2.1983,84,
1320,2.2,82,
1321,2.2017,79,
1322,2.2033,78,
1323,2.205,75,
1324,2.2067,74,
1325,2.2083,71,
1326,2.21,70,
1327,2.2117,68,
1328,2.2133,67,
1329,2.215,65,
1330,2.2167,64,
1331,2.2183,63,
1332,2.22,60,
1333,2.2217,59,
1334,2.2233,57,
1335,2.225,56,
1336,2.2267,55,
